,Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad
229,76.06,23.0,58633.63,201.04,Diverse multi-tasking parallelism,New Tinamouth,0,Brunei Darussalam,27/4/2016 4:28,0
230,66.67,33.0,72707.87,228.03,Horizontal content-based synergy,Turnerview,1,Taiwan,21/4/2016 20:29,0
231,46.77,32.0,31092.93,136.4,Multi-tiered maximized archive,Reneechester,1,Serbia,23/3/2016 6:00,1
232,62.42,38.0,74445.18,143.94,Diverse executive groupware,West Tinashire,0,Saint Pierre and Miquelon,19/7/2016 7:59,1
233,78.32,28.0,49309.14,239.52,Synergized cohesive array,Jamesfurt,0,Australia,26/6/2016 11:52,1
234,37.32,50.0,56735.14,199.25,Versatile dedicated software,New Nancy,1,Chad,30/3/2016 23:40,1
235,40.42,45.0,40183.75,133.9,Stand-alone reciprocal synergy,Lisamouth,1,Norway,16/3/2016 7:59,1
236,76.77,36.0,58348.41,123.51,Universal even-keeled analyzer,Harveyport,0,Turks and Caicos Islands,4/5/2016 0:01,1
237,65.65,30.0,72209.99,158.05,Up-sized tertiary contingency,Ramosstad,0,Finland,2/7/2016 21:22,0
238,74.32,33.0,62060.11,128.17,Monitored real-time superstructure,North Kevinside,0,South Africa,23/5/2016 21:14,1
239,73.27,32.0,67113.46,234.75,Streamlined analyzing initiative,Haleview,1,Martinique,29/1/2016 20:16,0
240,80.03,44.0,24030.06,150.84,Automated static concept,Christinetown,0,Afghanistan,23/7/2016 14:47,1
241,53.68,47.0,56180.93,115.26,Operative stable moderator,New Michael,1,Micronesia,16/2/2016 9:11,1
242,85.84,32.0,62204.93,192.85,Up-sized 6thgeneration moratorium,Jonesland,1,French Southern Territories,9/6/2016 21:43,0
243,85.03,30.0,60372.64,204.52,Expanded clear-thinking core,North Shannon,0,Philippines,19/6/2016 9:24,0
244,70.44,24.0,65280.16,178.75,Polarized attitude-oriented superstructure,New Sonialand,1,Algeria,6/6/2016 21:26,0
245,81.22,53.0,34309.24,223.09,Networked coherent interface,Port Jason,1,San Marino,7/1/2016 13:25,0
246,39.96,45.0,59610.81,146.13,Enhanced homogeneous moderator,East Barbara,1,Guernsey,15/4/2016 6:08,1
247,57.05,41.0,50278.89,269.96,Seamless full-range website,Port Erinberg,1,Sierra Leone,9/1/2016 3:45,1
248,42.44,56.0,43450.11,168.27,Profit-focused attitude-oriented task-force,Petersonfurt,0,Tajikistan,10/2/2016 15:23,1
249,62.2,25.0,25408.21,161.16,Cross-platform multimedia algorithm,New Lindaberg,0,Liechtenstein,24/4/2016 13:42,1
250,76.7,36.0,71136.49,222.25,Open-source coherent monitoring,West Russell,0,Ecuador,12/6/2016 5:31,0
251,61.22,45.0,63883.81,119.03,Streamlined logistical secured line,South Adam,1,Switzerland,5/1/2016 9:42,1
252,84.54,33.0,64902.47,204.02,Synchronized stable complexity,North Tracyport,1,Moldova,2/3/2016 10:07,0
253,46.08,30.0,66784.81,164.63,Synergistic value-added extranet,Brownport,1,Finland,21/7/2016 10:54,1
254,56.7,48.0,62784.85,123.13,Progressive non-volatile neural-net,Port Crystal,0,France,9/1/2016 4:53,1
255,81.03,28.0,63727.5,201.15,Persevering tertiary capability,Masonhaven,0,Venezuela,6/1/2016 13:20,0
256,80.91,32.0,61608.23,231.42,Enterprise-wide bi-directional secured line,Derrickhaven,0,Cuba,31/1/2016 4:10,0
257,40.06,38.0,56782.18,138.68,Organized contextually-based customer loyalty,Olsonstad,1,Peru,11/6/2016 8:38,1
258,83.47,39.0,64447.77,226.11,Total directional approach,New Brandy,0,Turkey,15/5/2016 20:48,0
259,73.84,31.0,42042.95,121.05,Programmable uniform productivity,South Jasminebury,0,Albania,18/6/2016 17:23,1
260,74.65,28.0,67669.06,212.56,Robust transitional ability,East Timothy,0,French Southern Territories,17/3/2016 5:00,0
261,60.25,35.0,54875.95,109.77,De-engineered fault-tolerant database,Charlottefort,0,Papua New Guinea,29/6/2016 13:35,1
262,59.21,35.0,73347.67,144.62,Managed disintermediate matrices,Lake Beckyburgh,1,Liechtenstein,2/2/2016 8:55,1
263,43.02,44.0,50199.77,125.22,Configurable bottom-line application,West Lindseybury,0,Thailand,13/4/2016 5:42,1
264,84.04,38.0,50723.67,244.55,Self-enabling didactic pricing structure,West Alyssa,0,Malaysia,20/7/2016 9:27,0
265,70.66,43.0,63450.96,120.95,Versatile scalable encryption,Lake Craigview,1,Mauritius,26/2/2016 4:57,1
266,70.58,26.0,56694.12,136.94,Proactive next generation knowledge user,Lake David,0,Algeria,26/2/2016 9:18,1
267,72.44,34.0,70547.16,230.14,Customizable tangible hierarchy,Bruceburgh,0,Christmas Island,15/4/2016 14:45,0
268,40.17,26.0,47391.95,171.31,Visionary asymmetric encryption,South Lauratown,1,Japan,1/2/2016 14:37,1
269,79.15,26.0,62312.23,203.23,Intuitive explicit conglomeration,Port Robin,0,Greenland,20/1/2016 19:09,0
270,44.49,53.0,63100.13,168.0,Business-focused real-time toolset,Jacksonburgh,1,Sao Tome and Principe,23/4/2016 6:28,1
271,73.04,37.0,73687.5,221.79,Organic contextually-based focus group,Erinmouth,1,Senegal,19/6/2016 22:26,0
272,76.28,33.0,52686.47,254.34,Right-sized asynchronous website,Port Aliciabury,0,Guadeloupe,15/2/2016 7:55,0
273,68.88,37.0,78119.5,179.58,Advanced 5thgeneration capability,Port Whitneyhaven,0,Belgium,9/2/2016 19:37,0
274,73.1,28.0,57014.84,242.37,Universal asymmetric archive,Jeffreyshire,0,Israel,25/1/2016 7:52,0
275,47.66,29.0,27086.4,156.54,Devolved responsive structure,Tinaton,0,Honduras,18/7/2016 11:33,1
276,87.3,35.0,58337.18,216.87,Triple-buffered regional toolset,North Loriburgh,0,Estonia,9/1/2016 7:28,0
277,89.34,32.0,50216.01,177.78,Object-based executive productivity,Wendyton,1,Paraguay,21/3/2016 21:15,0
278,81.37,26.0,53049.44,156.48,Business-focused responsive website,Lake Jacqueline,1,Kyrgyz Republic,15/2/2016 12:25,0
279,81.67,28.0,62927.96,196.76,Visionary analyzing structure,North Christopher,1,Mauritania,4/3/2016 8:48,0
280,46.37,52.0,32847.53,144.27,De-engineered solution-oriented open architecture,Alexanderfurt,0,French Guiana,5/1/2016 0:02,1
281,54.88,24.0,32006.82,148.61,Customizable modular Internet solution,West Pamela,0,Northern Mariana Islands,15/5/2016 1:03,1
282,40.67,35.0,48913.07,133.18,Stand-alone encompassing throughput,West Amanda,0,Lebanon,5/5/2016 9:28,1
283,71.76,35.0,69285.69,237.39,Customizable zero-defect matrix,South Tomside,0,Saint Pierre and Miquelon,26/5/2016 13:18,0
284,47.51,51.0,53700.57,130.41,Managed well-modulated collaboration,Bethburgh,1,American Samoa,21/5/2016 1:36,1
285,75.15,22.0,52011.0,212.87,Universal global intranet,Jamiefort,1,Austria,4/5/2016 12:06,0
286,56.01,26.0,46339.25,127.26,Re-engineered real-time success,Garciamouth,0,Tonga,5/7/2016 18:59,1
287,82.87,37.0,67938.77,213.36,Front-line fresh-thinking open system,West Brenda,0,Tonga,28/6/2016 20:13,0
288,45.05,42.0,66348.95,141.36,Digitized contextually-based product,South Kyle,0,French Southern Territories,5/5/2016 11:09,1
289,60.53,24.0,66873.9,167.22,Organic interactive support,Combsstad,0,Serbia,25/3/2016 15:17,1
290,50.52,31.0,72270.88,171.62,Function-based stable alliance,Lake Allenville,0,New Caledonia,23/1/2016 15:02,1
291,84.71,32.0,61610.05,210.23,Reactive responsive emulation,Greenechester,0,Taiwan,29/5/2016 7:29,0
292,55.2,39.0,76560.59,159.46,Exclusive zero tolerance alliance,Jordantown,1,United States of America,30/5/2016 7:36,1
293,81.61,33.0,62667.51,228.76,Enterprise-wide local matrices,Gravesport,0,Morocco,17/4/2016 15:46,0
294,71.55,36.0,75687.46,163.99,Inverse next generation moratorium,South Troy,1,Suriname,20/7/2016 23:08,0
295,82.4,36.0,66744.65,218.97,Implemented bifurcated workforce,Lake Patrick,1,Macedonia,29/6/2016 3:07,0
296,73.95,35.0,67714.82,238.58,Persevering even-keeled help-desk,Millerland,0,Wallis and Futuna,10/4/2016 14:48,0
297,72.07,31.0,69710.51,226.45,Grass-roots eco-centric instruction set,Port Jessicamouth,0,Chile,16/4/2016 16:38,0
298,80.39,31.0,66269.49,214.74,Fully-configurable incremental Graphical User Interface,Paulport,0,Gabon,3/5/2016 8:21,0
299,65.8,25.0,60843.32,231.49,Expanded radical software,Clineshire,1,Gabon,18/3/2016 16:04,0
300,69.97,28.0,55041.6,250.0,Mandatory 3rdgeneration moderator,Cynthiaside,0,Holy See (Vatican City State),22/5/2016 0:01,0
301,52.62,50.0,73863.25,176.52,Enterprise-wide foreground emulation,Port Juan,0,Seychelles,1/2/2016 20:30,1
302,39.25,39.0,62378.05,152.36,Customer-focused incremental system engine,Michellefort,0,Mayotte,23/1/2016 17:39,1
303,77.56,38.0,63336.85,130.83,Right-sized multi-tasking solution,Port Angelamouth,1,Uganda,19/5/2016 3:52,1
304,33.52,43.0,42191.61,165.56,Vision-oriented optimizing middleware,Jessicahaven,0,Cambodia,9/5/2016 21:54,1
305,79.81,24.0,56194.56,178.85,Proactive context-sensitive project,North Daniel,1,Antigua and Barbuda,31/5/2016 11:44,1
306,84.79,33.0,61771.9,214.53,Managed eco-centric encoding,New Juan,0,Cameroon,30/3/2016 19:09,0
307,82.7,35.0,61383.79,231.07,Visionary multi-tasking alliance,Amyfurt,0,Somalia,9/1/2016 15:49,0
308,84.88,32.0,63924.82,186.48,Ameliorated tangible hierarchy,Harrishaven,0,Lebanon,18/4/2016 3:41,0
309,54.92,54.0,23975.35,161.16,Extended interactive model,Roberttown,0,Saint Pierre and Miquelon,13/6/2016 13:59,1
310,76.56,34.0,70179.11,221.53,Universal bi-directional extranet,Jeremyshire,1,Dominica,23/4/2016 8:15,0
311,69.74,49.0,66524.8,243.37,Enhanced maximized access,Birdshire,0,Hungary,27/3/2016 16:41,0
312,75.55,22.0,41851.38,169.4,Upgradable even-keeled challenge,New Amanda,0,Taiwan,19/2/2016 7:29,1
313,72.19,33.0,61275.18,250.35,Synchronized national infrastructure,Curtisview,1,Saint Lucia,19/5/2016 11:16,0
314,84.29,41.0,60638.38,232.54,Re-contextualized systemic time-frame,Jacksonmouth,0,Niue,27/1/2016 20:47,0
315,73.89,39.0,47160.53,110.68,Horizontal national architecture,North April,0,France,20/4/2016 0:41,1
316,75.84,21.0,48537.18,186.98,Reactive bi-directional workforce,Hayesmouth,0,Cyprus,7/2/2016 7:41,0
317,73.38,25.0,53058.91,236.19,Horizontal transitional challenge,South Corey,1,French Southern Territories,21/4/2016 9:30,0
318,80.72,31.0,68614.98,186.37,Re-engineered neutral success,Juliaport,0,Costa Rica,19/4/2016 5:15,0
319,62.06,44.0,44174.25,105.0,Adaptive contextually-based methodology,Port Paultown,0,Austria,12/4/2016 14:01,1
320,51.5,34.0,67050.16,135.31,Configurable dynamic adapter,East Vincentstad,0,Zambia,15/3/2016 11:25,1
321,90.97,37.0,54520.14,180.77,Multi-lateral empowering throughput,Kimberlytown,0,Congo,16/2/2016 18:21,0
322,86.78,30.0,54952.42,170.13,Fundamental zero tolerance solution,New Steve,1,United States of America,18/2/2016 23:08,0
323,66.18,35.0,69476.42,243.61,Proactive asymmetric definition,New Johnberg,0,Pitcairn Islands,25/3/2016 8:40,0
324,84.33,41.0,54989.93,240.95,Pre-emptive zero tolerance Local Area Network,Shawstad,0,Belize,16/3/2016 0:28,0
325,36.87,36.0,29398.61,195.91,Self-enabling incremental collaboration,New Rebecca,0,Anguilla,28/1/2016 11:50,1
326,34.78,48.0,42861.42,208.21,Exclusive even-keeled moratorium,Jeffreyburgh,1,South Africa,24/3/2016 2:01,1
327,76.84,32.0,65883.39,231.59,Reduced incremental productivity,Faithview,0,Singapore,3/3/2016 22:31,0
328,67.05,25.0,65421.39,220.92,Realigned scalable standardization,Richardsontown,0,Finland,26/2/2016 9:54,0
329,41.47,31.0,60953.93,219.79,Secured scalable Graphical User Interface,Port Brookeland,0,Martinique,6/7/2016 15:56,1
330,80.71,26.0,58476.57,200.58,Team-oriented context-sensitive installation,East Christopherbury,0,Cameroon,24/6/2016 5:50,0
331,80.09,31.0,66636.84,214.08,Pre-emptive systematic budgetary management,Port Christinemouth,0,Sweden,23/5/2016 21:00,0
332,56.3,49.0,67430.96,135.24,Fully-configurable high-level implementation,South Meghan,1,New Caledonia,3/2/2016 19:12,1
333,79.36,34.0,57260.41,245.78,Profound maximized workforce,Hessstad,1,Bosnia and Herzegovina,28/4/2016 22:54,0
334,86.38,40.0,66359.32,188.27,Cross-platform 4thgeneration focus group,Rhondaborough,1,Singapore,19/3/2016 14:57,0
335,38.94,41.0,57587.0,142.67,Optional mission-critical functionalities,Lewismouth,1,Falkland Islands (Malvinas),15/7/2016 9:08,1
336,87.26,35.0,63060.55,184.03,Multi-layered tangible portal,New Paul,0,Bosnia and Herzegovina,12/5/2016 4:35,0
337,75.32,28.0,59998.5,233.6,Reduced mobile structure,Lake Angela,1,Mauritius,1/1/2016 21:58,0
338,74.38,40.0,74024.61,220.05,Enhanced zero tolerance Graphic Interface,East Graceland,1,Indonesia,13/3/2016 13:50,0
339,65.9,22.0,60550.66,211.39,De-engineered tertiary secured line,Hartport,0,Czech Republic,16/7/2016 14:13,0
340,36.31,47.0,57983.3,168.92,Reverse-engineered well-modulated capability,East Yvonnechester,0,Eritrea,18/4/2016 0:49,1
341,72.23,48.0,52736.33,115.35,Integrated coherent pricing structure,Burgessside,0,Mexico,17/7/2016 1:13,1
342,88.12,38.0,46653.75,230.91,Realigned next generation projection,Hurleyborough,0,Gibraltar,17/2/2016 7:05,0
343,83.97,28.0,56986.73,205.5,Reactive needs-based instruction set,Garychester,1,Haiti,16/6/2016 2:33,0
344,61.09,26.0,55336.18,131.68,User-friendly well-modulated leverage,East Kevinbury,1,Falkland Islands (Malvinas),9/4/2016 16:31,1
345,65.77,21.0,42162.9,218.61,Function-based fault-tolerant model,Contrerasshire,1,Eritrea,18/3/2016 17:35,0
346,81.58,25.0,39699.13,199.39,Decentralized needs-based analyzer,Erikville,0,Hong Kong,11/5/2016 22:02,0
347,37.87,52.0,56394.82,188.56,Phased analyzing emulation,Robertsonburgh,1,Gambia,25/5/2016 20:10,1
348,76.2,37.0,75044.35,178.51,Multi-layered fresh-thinking process improvement,Karenton,0,Barbados,29/2/2016 19:26,0
349,60.91,19.0,53309.61,184.94,Upgradable directional system engine,Port Kathleenfort,0,Nauru,9/6/2016 14:24,1
350,74.49,28.0,58996.12,237.34,Persevering eco-centric flexibility,Lake Adrian,0,Peru,30/1/2016 16:15,0
351,73.71,23.0,56605.12,211.38,Inverse local hub,New Sheila,1,El Salvador,15/2/2016 5:35,0
352,78.19,30.0,62475.99,228.81,Triple-buffered needs-based Local Area Network,Mollyport,0,Libyan Arab Jamahiriya,31/1/2016 6:14,0
353,79.54,44.0,70492.6,217.68,Centralized multi-state hierarchy,Sandraland,1,Cambodia,5/1/2016 16:34,0
354,74.87,52.0,43698.53,126.97,Public-key non-volatile implementation,Charlenetown,0,Saint Barthelemy,31/5/2016 2:17,1
355,87.09,36.0,57737.51,221.98,Synergized coherent interface,Luischester,1,Reunion,21/4/2016 16:10,0
356,37.45,47.0,31281.01,167.86,Horizontal high-level concept,South Johnnymouth,0,Antigua and Barbuda,10/4/2016 3:30,1
357,49.84,39.0,45800.48,111.59,Reduced multimedia project,Hannaport,0,Samoa,9/2/2016 7:21,1
358,51.38,59.0,42362.49,158.56,Object-based modular functionalities,East Anthony,0,Afghanistan,17/6/2016 17:11,1
359,83.4,34.0,66691.23,207.87,Polarized multimedia system engine,West Daleborough,0,Azerbaijan,22/5/2016 21:54,0
360,38.91,33.0,56369.74,150.8,Versatile reciprocal structure,Morrismouth,1,Philippines,13/7/2016 7:41,1
361,62.14,41.0,59397.89,110.93,Upgradable multi-tasking initiative,North Andrewstad,1,Angola,23/1/2016 18:59,1
362,79.72,28.0,66025.11,193.8,Configurable tertiary budgetary management,Wrightburgh,1,Albania,20/5/2016 12:17,0
363,73.3,36.0,68211.35,135.72,Adaptive asynchronous attitude,West Tanya,1,Hungary,30/1/2016 4:38,1
364,69.11,42.0,73608.99,231.48,Face-to-face mission-critical definition,Novaktown,1,Faroe Islands,21/4/2016 12:34,0
365,71.9,54.0,61228.96,140.15,Inverse zero tolerance customer loyalty,Timothymouth,1,Czech Republic,22/4/2016 20:32,1
366,72.45,29.0,72325.91,195.36,Centralized 24hour synergy,Robertmouth,1,Svalbard & Jan Mayen Islands,11/1/2016 6:02,0
367,77.07,40.0,44559.43,261.02,Face-to-face analyzing encryption,Stephenborough,0,Afghanistan,1/3/2016 10:01,0
368,74.62,36.0,73207.15,217.79,Self-enabling even-keeled methodology,Lake Kurtmouth,0,Rwanda,4/4/2016 8:19,0
369,82.07,25.0,46722.07,205.38,Function-based optimizing extranet,Lauraburgh,1,Panama,20/6/2016 6:30,0
370,58.6,50.0,45400.5,113.7,Organic asynchronous hierarchy,Rogerburgh,0,Samoa,28/1/2016 7:10,1
371,36.08,45.0,41417.27,151.47,Automated client-driven orchestration,Davidside,1,United States Minor Outlying Islands,3/7/2016 4:11,1
372,79.44,26.0,60845.55,206.79,Public-key zero-defect analyzer,West Thomas,0,Greece,15/5/2016 13:18,0
373,41.73,47.0,60812.77,144.71,Proactive client-server productivity,Andersonchester,0,Cote d'Ivoire,8/4/2016 22:48,1
374,73.19,25.0,64267.88,203.74,Cloned incremental matrices,North Ronaldshire,1,Pakistan,19/1/2016 12:18,0
375,77.6,24.0,58151.87,197.33,Open-architected system-worthy task-force,Greghaven,1,Anguilla,26/5/2016 15:40,0
376,89.0,37.0,52079.18,222.26,Devolved regional moderator,Jordanmouth,1,Cyprus,26/1/2016 15:56,0
377,69.2,42.0,26023.99,123.8,Balanced value-added database,Meyersstad,0,Peru,17/6/2016 9:58,1
378,67.56,31.0,62318.38,125.45,Seamless composite budgetary management,Michelleside,0,Kenya,25/4/2016 21:15,1
379,81.11,39.0,56216.57,248.19,Total cohesive moratorium,South Robert,1,Chad,13/7/2016 11:41,0
380,80.22,30.0,61806.31,224.58,Integrated motivating neural-net,New Tyler,0,Kyrgyz Republic,5/7/2016 15:14,0
381,43.63,41.0,51662.24,123.25,Exclusive zero tolerance frame,Jordanshire,1,Albania,15/3/2016 14:06,1
382,77.66,29.0,67080.94,168.15,Operative scalable emulation,Reyesland,0,Gabon,19/6/2016 22:08,0
383,74.63,26.0,51975.41,235.99,Enhanced asymmetric installation,New Traceystad,1,Dominican Republic,5/7/2016 20:16,0
384,49.67,27.0,28019.09,153.69,Face-to-face reciprocal methodology,Port Brian,0,Zimbabwe,9/5/2016 8:44,1
385,80.59,37.0,67744.56,224.23,Robust responsive collaboration,Lake Courtney,0,Croatia,21/7/2016 23:14,0
386,83.49,33.0,66574.0,190.75,Polarized logistical hub,Samuelborough,1,Cambodia,3/6/2016 17:32,0
387,44.46,42.0,30487.48,132.66,Intuitive zero-defect framework,Christinehaven,1,Mongolia,15/1/2016 19:40,1
388,68.1,40.0,74903.41,227.73,Reactive composite project,Thomasstad,1,Honduras,5/2/2016 16:50,0
389,63.88,38.0,19991.72,136.85,Upgradable even-keeled hardware,Kristintown,0,Madagascar,29/2/2016 23:56,1
390,78.83,36.0,66050.63,234.64,Future-proofed responsive matrix,New Wanda,1,Qatar,8/5/2016 12:08,0
391,79.97,44.0,70449.04,216.0,Programmable empowering middleware,Mariebury,0,China,13/7/2016 1:48,0
392,80.51,28.0,64008.55,200.28,Robust dedicated system engine,Christopherville,1,Bangladesh,8/1/2016 2:34,0
393,62.26,26.0,70203.74,202.77,Public-key mission-critical core,New Jasmine,0,Swaziland,8/6/2016 12:25,0
394,66.99,47.0,27262.51,124.44,Operative actuating installation,Lopezberg,1,Tanzania,15/6/2016 11:56,1
395,71.05,20.0,49544.41,204.22,Self-enabling asynchronous knowledge user,Jenniferstad,1,Eritrea,13/6/2016 22:41,0
396,42.05,51.0,28357.27,174.55,Configurable 24/7 hub,West Eduardotown,1,Canada,20/6/2016 14:20,1
397,50.52,28.0,66929.03,219.69,Versatile responsive knowledge user,Davisfurt,0,Saint Kitts and Nevis,3/4/2016 6:17,1
398,76.24,40.0,75524.78,198.32,Managed impactful definition,Bakerhaven,1,Burkina Faso,31/5/2016 23:42,0
399,77.29,27.0,66265.34,201.24,Grass-roots 4thgeneration forecast,Paulshire,1,Tuvalu,15/2/2016 3:43,0
400,35.98,47.0,55993.68,165.52,Focused 3rdgeneration pricing structure,West Jane,1,El Salvador,10/3/2016 23:26,1
401,84.95,34.0,56379.3,230.36,Mandatory dedicated data-warehouse,Lake Brian,0,Madagascar,26/2/2016 17:01,0
402,39.34,43.0,31215.88,148.93,Proactive radical support,Alvaradoport,0,Bangladesh,17/4/2016 21:39,1
403,87.23,29.0,51015.11,202.12,Re-engineered responsive definition,Lake Kevin,0,American Samoa,26/3/2016 19:54,0
404,57.24,52.0,46473.14,117.35,Profound optimizing utilization,Richardsonland,1,Latvia,29/6/2016 21:39,1
405,81.58,41.0,55479.62,248.16,Cloned explicit middleware,East Sheriville,0,Moldova,27/1/2016 17:55,0
406,56.34,50.0,68713.7,139.02,Multi-channeled mission-critical success,Port Michealburgh,1,Anguilla,17/3/2016 23:39,1
407,48.73,27.0,34191.23,142.04,Versatile content-based protocol,Monicaview,0,Bangladesh,9/7/2016 16:23,1
408,51.68,49.0,51067.54,258.62,Seamless cohesive conglomeration,Katieport,0,Faroe Islands,28/6/2016 12:51,1
409,35.34,45.0,46693.76,152.86,De-engineered actuating hierarchy,East Brittanyville,0,Taiwan,18/6/2016 16:32,1
410,48.09,33.0,19504.987499999996,180.42,Balanced motivating help-desk,West Travismouth,0,Heard Island and McDonald Islands,28/5/2016 12:38,1
411,78.68,29.0,66225.72,208.05,Inverse high-level capability,Leonchester,0,Israel,16/1/2016 16:40,0
412,68.82,20.0,38609.2,205.64,Cross-platform client-server hierarchy,Ramirezland,1,Bolivia,11/7/2016 15:45,0
413,56.99,40.0,37713.23,108.15,Sharable optimal capacity,Brownton,0,Bahamas,16/7/2016 23:08,1
414,86.63,39.0,63764.28,209.64,Face-to-face multimedia success,New Jessicaport,1,Costa Rica,6/4/2016 21:20,0
415,41.18,43.0,41866.55,129.25,Enterprise-wide incremental Internet solution,New Denisebury,1,Myanmar,5/7/2016 0:54,1
416,71.03,32.0,57846.68,120.85,Advanced systemic productivity,Keithtown,0,Netherlands Antilles,17/2/2016 23:47,1
417,72.92,29.0,69428.73,217.1,Customizable mission-critical adapter,Port Melissastad,1,Czech Republic,15/3/2016 17:33,0
418,77.14,24.0,60283.98,184.88,Horizontal heuristic synergy,Janiceview,1,Iceland,21/1/2016 18:51,0
419,60.7,43.0,79332.33,192.6,Multi-tiered multi-state moderator,Mataberg,1,Palau,6/6/2016 22:41,0
420,34.3,41.0,53167.68,160.74,Re-contextualized reciprocal interface,West Melaniefurt,1,Libyan Arab Jamahiriya,16/5/2016 14:50,1
421,83.71,45.0,64564.07,220.48,Organized demand-driven knowledgebase,Millerfort,1,Kazakhstan,17/4/2016 19:10,0
422,53.38,35.0,60803.37,120.06,Total local synergy,Alexanderview,1,French Guiana,30/3/2016 1:05,1
423,58.03,31.0,28387.42,129.33,User-friendly bandwidth-monitored attitude,South Jade,0,Tuvalu,29/6/2016 9:04,1
424,43.59,36.0,58849.77,132.31,Re-engineered context-sensitive knowledge user,Lake Susan,1,Congo,26/5/2016 13:43,1
425,60.07,42.0,65963.37,120.75,Total user-facing hierarchy,South Vincentchester,1,United Kingdom,15/4/2016 10:16,1
426,54.43,37.0,75180.2,154.74,Balanced contextually-based pricing structure,Williamsmouth,1,Luxembourg,31/5/2016 9:06,1
427,81.99,33.0,61270.14,230.9,Inverse bi-directional knowledge user,Taylorport,0,French Polynesia,15/2/2016 14:13,0
428,60.53,29.0,56759.48,123.28,Networked even-keeled workforce,Williamsport,0,Papua New Guinea,9/5/2016 10:21,1
429,84.69,31.0,46160.63,231.85,Right-sized transitional parallelism,Emilyfurt,1,Maldives,7/7/2016 23:32,0
430,88.72,32.0,43870.51,211.87,Customer-focused system-worthy superstructure,East John,1,Zambia,3/1/2016 17:10,0
431,88.89,35.0,50439.49,218.8,Balanced 4thgeneration success,East Deborahhaven,1,Cook Islands,17/7/2016 18:55,0
432,69.58,43.0,28028.74,255.07,Cross-group value-added success,Port Katelynview,0,Congo,4/4/2016 18:36,1
433,85.23,36.0,64238.71,212.92,Visionary client-driven installation,Paulhaven,1,Senegal,27/2/2016 12:34,0
434,83.55,39.0,65816.38,221.18,Switchable well-modulated infrastructure,Elizabethmouth,1,Myanmar,8/6/2016 20:13,0
435,56.66,42.0,72684.44,139.42,Upgradable asymmetric emulation,Lake Jesus,0,Dominican Republic,20/2/2016 10:52,1
436,56.39,27.0,38817.4,248.12,Configurable tertiary capability,North Tylerland,1,Bahrain,23/3/2016 21:06,0
437,76.24,27.0,63976.44,214.42,Monitored dynamic instruction set,Munozberg,0,Puerto Rico,7/6/2016 1:29,0
438,57.64,36.0,37212.54,110.25,Robust web-enabled attitude,North Maryland,1,Chile,18/1/2016 15:18,1
439,78.18,23.0,52691.79,167.67,Customer-focused full-range neural-net,West Barbara,0,Bolivia,9/6/2016 19:32,0
440,46.04,32.0,65499.93,147.92,Universal transitional Graphical User Interface,Andrewborough,0,Serbia,30/5/2016 20:07,1
441,79.4,35.0,63966.72,236.87,User-centric intangible contingency,New Gabriel,0,Malaysia,1/4/2016 9:21,0
442,36.44,39.0,52400.88,147.64,Configurable disintermediate throughput,Port Patrickton,1,Estonia,31/5/2016 6:21,1
443,53.14,38.0,49111.47,109.0,Automated web-enabled migration,West Julia,1,Greenland,3/7/2016 22:13,1
444,32.84,40.0,41232.89,171.72,Triple-buffered 3rdgeneration migration,New Keithburgh,0,Trinidad and Tobago,10/3/2016 1:36,1
445,73.72,32.0,52140.04,256.4,Universal contextually-based system engine,Richardsland,1,Thailand,18/3/2016 2:39,0
446,38.1,34.0,60641.09,214.38,Optional secondary access,North Aaronchester,1,Philippines,30/5/2016 18:08,1
447,73.93,44.0,74180.05,218.22,Quality-focused scalable utilization,Lake Matthewland,0,Niue,20/2/2016 0:06,0
448,51.87,50.0,51869.87,119.65,Team-oriented dynamic forecast,Kevinberg,0,Afghanistan,10/3/2016 22:28,1
449,77.69,22.0,48852.58,169.88,Horizontal heuristic support,Morganfort,1,Angola,21/6/2016 14:32,0
450,43.41,28.0,59144.02,160.73,Customer-focused zero-defect process improvement,Lovemouth,0,Egypt,5/2/2016 15:26,1
451,55.92,24.0,33951.63,145.08,Focused systemic benchmark,Taylorhaven,0,Fiji,31/5/2016 21:41,1
452,80.67,34.0,58909.36,239.76,Seamless impactful info-mediaries,Jamesville,0,Portugal,1/1/2016 2:52,0
453,83.42,25.0,49850.52,183.42,Advanced heuristic firmware,East Toddfort,1,Austria,4/3/2016 14:10,0
454,82.12,52.0,28679.93,201.15,Fully-configurable client-driven customer loyalty,East Dana,1,Germany,3/2/2016 10:40,1
455,66.17,33.0,69869.66,238.45,Cross-group neutral synergy,West Lucas,0,Panama,20/1/2016 0:26,0
456,43.01,35.0,48347.64,127.37,Organized 24/7 middleware,Butlerfort,0,United States of America,11/6/2016 9:37,1
457,80.05,25.0,45959.86,219.94,Networked stable open architecture,Lindaside,1,Christmas Island,8/3/2016 5:48,0
458,64.88,42.0,70005.51,129.8,Customizable systematic service-desk,West Chloeborough,1,Equatorial Guinea,14/2/2016 22:23,1
459,79.82,26.0,51512.66,223.28,Function-based directional productivity,Jayville,1,Micronesia,17/7/2016 22:04,0
460,48.03,40.0,25598.75,134.6,Networked stable array,East Lindsey,1,Malta,2/6/2016 22:16,1
